Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Industry_type,SubVertical,CityLocation,Citycode,Investors Name,InvestmentnType,InvestmentID,Amount in USD,Remarks
1,9/1/2020,BYJU’S,E-Tech,1,E-learning,\\xc2\\xa0Bangalore,1,Tiger Global Management,Angel,1,200000000,
2,13/01/2020,Shuttl,Transportation,2,App based shuttle service,\\xc2\\xa0Gurgaon,2,Susquehanna Growth Equity,Angel / Seed Funding,2,8048394,
3,9/1/2020,Mamaearth,E-commerce,3,Retailer of baby and toddler products,\\xc2\\xa0Gurgaon,2,Sequoia Capital India,Angel / Seed Funding,2,18358860,
4,2/1/2020,https://www.wealthbucket.in/,FinTech,4,Online Investment,\\xc2\\xa0Gurgaon,2,Vinod Khatumal,Angel / Seed Funding,2,3000000,
5,2/1/2020,Fashor,Fashion and Apparel,5,Embroiled Clothes For Women,\\xc2\\xa0Gurgaon,2,Sprout Venture Partners,Angel / Seed Funding,2,1800000,
6,13/01/2020,Pando,Logistics,6,"Open-market, freight management platform",\\xc2\\xa0Mumbai,3,Chiratae Ventures,Angel / Seed Funding,2,9000000,
7,10/1/2020,Zomato,Hospitality,7,Online Food Delivery Platform,\\xc2\\xa0New Delhi,4,Ant Financial,Angel / Seed Funding,2,150000000,
8,12/12/2019,Ecozen,Technology,8,Agritech,\\xc2\\xa0New Delhi,4,Sathguru Catalyzer Advisors,Angel / Seed Funding,2,6000000,
9,6/12/2019,CarDekho,E-Commerce,9,Automobile,\\xc2\\xa0New Delhi,4,Ping An Global Voyager Fund,Angel / Seed Funding,2,70000000,
10,3/12/2019,Dhruva Space,Aerospace,10,Satellite Communication,\\xc2\\xa0Noida,5,"Mumbai Angels, Ravikanth Reddy",Angel Funding,3,50000000,
11,13/12/2019,Rivigo,Technology,11,Logistics Services and Solutions,Agra,6,"SAIF Partners, Spring Canter Investment Ltd.",Angel Round,4,20000000,
12,17/12/2019,Healthians,B2B-focused foodtech startup,12,Food Solutions For Corporate,Agra,6,"Paytm, NPTK, Sabre Partners and Neoplux",Bridge Round,5,12000000,
13,16/12/2019,Licious,E-Commerce,13,Online Meat And Seafood Ordering Startup,Ahemadabad,7,Vertex Growth Fund,Corporate Round,6,30000000,
14,16/12/2019,InCred,Finance,14,Non-Banking Financial Company,Ahemadabad,7,,Corporate Round,6,5900000,
15,14/12/2019,Trell,Video,15,Experience Discovery Platform,Ahemdabad,8,Ruizheng Investment,Crowd funding,7,2000000,
16,11/12/2019,Rein Games,Gaming,16,Real money based gaming startup,Ahmedabad,9,Manipal Education and Medical Group (MEMG),Crowd Funding,7,50000000,
17,20/12/2019,Lenskart.com,E-Commerce,17,Online Eyewear Shopping Portal,Ahmedabad,9,SoftBank Vision Fund,Debt,8,231000000,
18,13/11/2019,Freshworks,Software,18,Business and customer engagement tools,Ahmedabad,9,"Sequoia, CapitalG, Accel",Debt and Preference capital,9,150000000,
19,14/11/2019,Misters,Health and wellness,19,Men's Health and Wellness brand,Ahmedabad,9,"Sauce.vc, Rainforest Ventures",Debt Funding,10,486000,
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,20,Elearning,Ahmedabad,9,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Debt Funding,10,1500000,
21,17/11/2019,Burger Singh,Food and Beverage,21,Indian Burger Brand,Ahmedabad,9,RB Investments,Debt Funding,10,Undisclosed,
22,18/11/2019,Healthians,Health and Wellness,22,Healthcare services,Ahmedabad,9,"DG Daiwa Ventures, DG Incubation",Debt Funding,10,12000000,
23,15/11/2019,Ninjacart,B2B Marketing,23,Agritech,Ahmedabad,9,Trifecta Capital Advisors,Debt Funding,10,26000000,
24,20/11/2019,Aye Finance,FinTech,24,Financial Services To MSMEs,Ahmedabad,9,FinTech,Debt Funding,10,17411265,
25,12/11/2019,SuperGaming,Video Games,25,Social gaming platform,Ahmedabad,9,Dream Incubator,Debt Funding,10,1300000,
26,20/11/2019,Clumio,SaaS,26,Recovery software,Ahmedabad,9,"Altimeter Capital, Sutter Hill Ventures",Debt Funding,10,135000000,
27,11/11/2019,eBikeGo,Last Mile Transportation,27,Electric bike rental,Ahmedabad,9,Startup Buddy,Debt Funding,10,300000,
28,19/11/2019,Digital Mall Asia,E-Commerce,28,Virtual e-commerce platform,Ahmedabad,9,Amour Infrastructure,Debt Funding,10,220000000,
29,18/11/2019,Medikabazaar,Healthcare,29,B2B platform for medical supplies,Ahmedabad,9,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Debt Funding,10,15800000,
30,15/11/2019,Vogo Automotive,Last Mile Transportation,30,Scooter sharing app,Ahmedabad,9,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Debt Funding,10,283000000,
31,19/11/2019,Furtados School of Music,Education,31,Music Education,Ahmedabad,9,IAN Fund and DSG Consumer Partners,Debt Funding,10,200000000,
32,25/11/2019,Paytm,FinTech,32,Mobile Wallet,Ahmedabad,9,Vijay Shekhar Sharma,Debt Funding,10,1000000000,
33,4/10/2019,Dunzo,Customer Service,33,Delivery Service,Ahmedabad,9,Lightbox,Debt Funding,10,45000000,
34,2/10/2019,Udaan,B2B,34,Business development,Ahmedabad,9,"Altimeter Capital, DST Global",Debt Funding,10,585000000,
35,21/10/2019,The Man Company,Consumer Goods,35,Beauty and Grooming,Ahmedabad,9,Ayushmann Khurana,Debt Funding,10,Undisclosed,
36,5/9/2019,FPL Technologies,FinTech,36,Financial Services,Ahmedabad,9,"Matrix Partners India, Sequoia India",Debt Funding,10,4500000,
37,4/9/2019,Cashflo,FinTech,36,Invoice discounting platform and SME lending marketplace,Ahmedabad,9,SAIF Partners,Debt Funding,10,3300000,
38,4/9/2019,Digital F5,"Advertising, Marketing",37,Digital marketing firm,Ahmedabad,9,TIW Private Equity,Debt Funding,10,6000000,
39,4/9/2019,3rdFlix,SaaS,38,Education Technology,Ahmedabad,9,Exfinity Venture Partners,Debt Funding,10,5000000,
40,4/9/2019,75F,IoT,39,Building automation system,Ahmedabad,9,Breakthrough Energy Ventures,Debt Funding,10,18000000,
41,4/9/2019,Myelin Foundry,Information Technology,40,Deep-technology,Ahmedabad,9,Endiya Partners,Debt Funding,10,1000000,
42,4/9/2019,Atomberg Technology,Consumer Technology,41,"Consumer Electronics, Home Appliances",Ahmedabad,9,A91 Partners,Debt Funding,10,10000000,
43,4/9/2019,GOQii,Health and Wellness,42,Wearable Fitness Bands,Ahmedabad,9,Bennett Coleman and Company Ltd (BCCL),Debt Funding,10,450000000,
44,3/9/2019,Vyapar App,Accounting,43,Mobile-based Accounting Software,Ahmedabad,9,"India Quotient, Axilor Ventures",Debt-Funding,11,5000000,
45,1/8/2019,CarDekho,E-Commerce,44,Automotive,Ahmedabad,9,SC GG India Mobility Holdings LLC,Equity,12,20000000,nan
46,1/8/2019,Progcap,Finance,45,Supply Chain Management,Ahmedabad,9,Sequoia India,Equity,12,5000000,nan
47,1/8/2019,MyPetrolPump,Retail,46,Fuel Delivery,Ahmedabad,9,,Equity Based Funding,13,1600000,nan
48,1/8/2019,Alteria Capital,Finance,47,VC Funds,Ahmedabad,9,"Azim Premji, Binny Bansal",Funding Round,14,140000000,nan
